ISO,Year,Country,Classification,Disaster.Type,Disaster.Subgroup,Region,Continent,Total.Deaths..adjusted.,Total.Damage..adjusted.,CPI,X.1.90.per.day...poverty.gap.index,co2_per_capita,Constant,Damage.pergdp
AGO,2006,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,2355,1,78.85225551,13.91519,1.097,1,1.91E-11
AGO,2006,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,69,1,78.85225551,13.91519,1.097,1,1.91E-11
AGO,2006,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,1,1,78.85225551,13.91519,1.097,1,1.91E-11
AGO,2007,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,1,1,81.10165893,12.29587,1.195,1,1.53E-11
AGO,2007,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,106,1,81.10165893,12.29587,1.195,1,1.53E-11
AGO,2007,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,516,1,81.10165893,12.29587,1.195,1,1.53E-11
AGO,2007,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,1,1,81.10165893,12.29587,1.195,1,1.53E-11
AGO,2008,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,230,1,84.21522909,11.16218,1.175,1,1.13E-11
AGO,2008,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,8,1,84.21522909,11.16218,1.175,1,1.13E-11
AGO,2008,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,135,1,84.21522909,11.16218,1.175,1,1.13E-11
AGO,2009,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,10,1,83.91580741,12.46207,1.224,1,1.42E-11
AGO,2009,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,1,1,83.91580741,12.46207,1.224,1,1.42E-11
AGO,2009,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,61,1,83.91580741,12.46207,1.224,1,1.42E-11
AGO,2009,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,108,1,83.91580741,12.46207,1.224,1,1.42E-11
AGO,2009,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,3,1,83.91580741,12.46207,1.224,1,1.42E-11
AGO,2010,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,1,1,85.2920606,12.93913,1.236,1,1.19E-11
AGO,2010,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,8,1,85.2920606,12.93913,1.236,1,1.19E-11
AGO,2010,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,19,1,85.2920606,12.93913,1.236,1,1.19E-11
AGO,2011,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,1,1,87.98460292,13.70044,1.252,1,8.95E-12
AGO,2011,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,114,1,87.98460292,13.70044,1.252,1,8.95E-12
AGO,2011,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,1,1,87.98460292,13.70044,1.252,1,8.95E-12
AGO,2011,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,18,1,87.98460292,13.70044,1.252,1,8.95E-12
AGO,2012,Angola,Sub Tropical,Drought,Climatological,Middle Africa,Africa,1,1,89.80529293,13.69668,1.346,1,7.81E-12
AGO,2013,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,10,1,91.12079403,14.21611,1.277,1,7.31E-12
AGO,2015,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,70,1,92.70882199,16.14843,1.206,1,8.61E-12
AGO,2015,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,2,1,92.70882199,16.14843,1.206,1,8.61E-12
AGO,2015,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,385,1,92.70882199,16.14843,1.206,1,8.61E-12
AGO,2015,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,6,1,92.70882199,16.14843,1.206,1,8.61E-12
AGO,2016,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,31,1,93.87843648,17.6276,1.089,1,9.89E-12
AGO,2016,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,55,1,93.87843648,17.6276,1.089,1,9.89E-12
AGO,2016,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,24,1,93.87843648,17.6276,1.089,1,9.89E-12
AGO,2016,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,7,1,93.87843648,17.6276,1.089,1,9.89E-12
AGO,2017,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,12,2001,95.87816577,19.57518,0.953,1,1.64E-08
AGO,2017,Angola,Sub Tropical,Drought,Climatological,Middle Africa,Africa,1,1,95.87816577,19.57518,0.953,1,8.19E-12
AGO,2018,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,3,1,98.21999062,22.32624,0.791,1,9.87E-12
AGO,2018,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,9,1,98.21999062,22.32624,0.791,1,9.87E-12
AGO,2019,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,12,1,100,23.59346,0.738,1,1.13E-11
AGO,2019,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,42,1,100,23.59346,0.738,1,1.13E-11
AGO,2019,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,20,1,100,23.59346,0.738,1,1.13E-11
ALB,1982,Albania,Warm Temperate,Earthquake,Geophysical,Southern Europe,Europe,2,5001,37.74582208,0.08155963,2.617,1,Inf
ALB,1985,Albania,Warm Temperate,Landslide,Hydrological,Southern Europe,Europe,58,1,42.07452677,0.1000148,2.652,1,5.27E-10
ALB,1985,Albania,Warm Temperate,Extreme temperature,Meteorological,Southern Europe,Europe,69,1,42.07452677,0.1000148,2.652,1,5.27E-10
ALB,1988,Albania,Warm Temperate,Earthquake,Geophysical,Southern Europe,Europe,1,1,46.25655683,0.115024,2.287,1,4.88E-10
ALB,1989,Albania,Warm Temperate,Drought,Climatological,Southern Europe,Europe,1,1,48.48936537,0.08359902,2.755,1,4.44E-10
ALB,1992,Albania,Warm Temperate,Flood,Hydrological,Southern Europe,Europe,12,7001,54.88464241,1.235144,0.769,1,1.07E-05
ALB,1995,Albania,Warm Temperate,Flood,Hydrological,Southern Europe,Europe,1,1,59.60449489,0.2270354,0.664,1,4.18E-10
ALB,1995,Albania,Warm Temperate,Flood,Hydrological,Southern Europe,Europe,5,1,59.60449489,0.2270354,0.664,1,4.18E-10
ALB,1996,Albania,Warm Temperate,Epidemic,Biological,Southern Europe,Europe,8,1,61.35162973,0.1398565,0.643,1,3.13E-10
ALB,1997,Albania,Warm Temperate,Flood,Hydrological,Southern Europe,Europe,1,1,62.7858352,0.4395523,0.494,1,4.43E-10
ALB,1998,Albania,Warm Temperate,Earthquake,Geophysical,Southern Europe,Europe,1,1,63.76045524,0.6169935,0.561,1,3.93E-10
ALB,2002,Albania,Warm Temperate,Epidemic,Biological,Southern Europe,Europe,1,1,70.35781897,0.2614352,1.199,1,2.30E-10
ALB,2002,Albania,Warm Temperate,Storm,Meteorological,Southern Europe,Europe,7,1,70.35781897,0.2614352,1.199,1,2.30E-10
ALB,2002,Albania,Warm Temperate,Flood,Hydrological,Southern Europe,Europe,2,17501,70.35781897,0.2614352,1.199,1,4.03E-06
ALB,2004,Albania,Warm Temperate,Extreme temperature,Meteorological,Southern Europe,Europe,4,1,73.88141244,0.1664386,1.322,1,1.39E-10
ALB,2004,Albania,Warm Temperate,Flood,Hydrological,Southern Europe,Europe,1,174,73.88141244,0.1664386,1.322,1,2.42E-08
ALB,2005,Albania,Warm Temperate,Flood,Hydrological,Southern Europe,Europe,4,1,76.38802721,0.131144,1.36,1,1.24E-10
ALB,2005,Albania,Warm Temperate,Storm,Meteorological,Southern Europe,Europe,3,1,76.38802721,0.131144,1.36,1,1.24E-10
ALB,2007,Albania,Warm Temperate,Wildfire,Climatological,Southern Europe,Europe,1,1,81.10165893,0.0711021,1.262,1,9.37E-11
ALB,2007,Albania,Warm Temperate,Extreme temperature,Meteorological,Southern Europe,Europe,1,1,81.10165893,0.0711021,1.262,1,9.37E-11
ALB,2009,Albania,Warm Temperate,Flood,Hydrological,Southern Europe,Europe,1,1,83.91580741,0.08667354,1.431,1,8.30E-11
ALB,2009,Albania,Warm Temperate,Earthquake,Geophysical,Southern Europe,Europe,1,1,83.91580741,0.08667354,1.431,1,8.30E-11
ALB,2010,Albania,Warm Temperate,Flood,Hydrological,Southern Europe,Europe,1,1,85.2920606,0.1147719,1.509,1,8.38E-11
ALB,2012,Albania,Warm Temperate,Extreme temperature,Meteorological,Southern Europe,Europe,6,1,89.80529293,0.1691009,1.602,1,8.12E-11
ALB,2015,Albania,Warm Temperate,Flood,Hydrological,Southern Europe,Europe,2,1,92.70882199,0.09927901,1.555,1,8.78E-11
ALB,2015,Albania,Warm Temperate,Flood,Hydrological,Southern Europe,Europe,1,1,92.70882199,0.09927901,1.555,1,8.78E-11
ALB,2015,Albania,Warm Temperate,Flood,Hydrological,Southern Europe,Europe,1,1,92.70882199,0.09927901,1.555,1,8.78E-11
ALB,2016,Albania,Warm Temperate,Flood,Hydrological,Southern Europe,Europe,3,1,93.87843648,0.1276257,1.556,1,8.43E-11
ALB,2017,Albania,Warm Temperate,Flood,Hydrological,Southern Europe,Europe,2,8901,95.87816577,0.193475,1.838,1,6.84E-07
ALB,2017,Albania,Warm Temperate,Extreme temperature,Meteorological,Southern Europe,Europe,7,1,95.87816577,0.193475,1.838,1,7.68E-11
ALB,2018,Albania,Warm Temperate,Flood,Hydrological,Southern Europe,Europe,1,1,98.21999062,0.157467,1.642,1,6.60E-11
ALB,2019,Albania,Warm Temperate,Earthquake,Geophysical,Southern Europe,Europe,1,45001,100,0.1299118,1.688,1,2.95E-06
ALB,2019,Albania,Warm Temperate,Earthquake,Geophysical,Southern Europe,Europe,52,700001,100,0.1299118,1.688,1,4.58E-05
ALB,2019,Albania,Warm Temperate,Earthquake,Geophysical,Southern Europe,Europe,1,1,100,0.1299118,1.688,1,6.54E-11
ARE,2017,United Arab Emirates (the),Tropical,Flood,Hydrological,Western Asia,Asia,1,1,95.87816577,0,17.796,1,2.59E-12
ARM,1997,Armenia,Cold Temperate,Flood,Hydrological,Western Asia,Asia,5,8001,62.7858352,2.743238,1.044,1,4.88E-06
ARM,1997,Armenia,Cold Temperate,Earthquake,Geophysical,Western Asia,Asia,1,33334,62.7858352,2.743238,1.044,1,2.03E-05
ARM,1998,Armenia,Cold Temperate,Flood,Hydrological,Western Asia,Asia,1,121,63.76045524,3.049265,1.093,1,6.39E-08
ARM,2000,Armenia,Cold Temperate,Drought,Climatological,Western Asia,Asia,1,100001,67.35575898,3.130005,1.137,1,5.23E-05
ARM,2004,Armenia,Cold Temperate,Flood,Hydrological,Western Asia,Asia,2,1,73.88141244,1.269047,1.23,1,2.80E-10
ARM,2013,Armenia,Cold Temperate,Extreme temperature,Meteorological,Western Asia,Asia,1,1,91.12079403,0.3579276,1.91,1,8.99E-11
ARM,2013,Armenia,Cold Temperate,Storm,Meteorological,Western Asia,Asia,1,60001,91.12079403,0.3579276,1.91,1,5.40E-06
ARM,2016,Armenia,Cold Temperate,Landslide,Hydrological,Western Asia,Asia,1,1,93.87843648,0.1616736,1.772,1,9.48E-11
ARM,2018,Armenia,Cold Temperate,Storm,Meteorological,Western Asia,Asia,1,1823,98.21999062,0.2347293,1.974,1,1.46E-07
ARM,2019,Armenia,Cold Temperate,Storm,Meteorological,Western Asia,Asia,1,1,100,0.133071,1.869,1,7.31E-11
AUS,1981,Australia,Sub Tropical,Drought,Climatological,Australia and New Zealand,Oceania,1,6000001,35.56517152,0.4843881,15.574,1,3.40E-05
AUS,1981,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,1,38237,35.56517152,0.4843881,15.574,1,2.16E-07
AUS,1981,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,1,150001,35.56517152,0.4843881,15.574,1,8.49E-07
AUS,1981,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,3,11280,35.56517152,0.4843881,15.574,1,6.39E-08
AUS,1981,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,7896,35.56517152,0.4843881,15.574,1,4.47E-08
AUS,1982,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,12455,37.74582208,0.4963576,15.615,1,6.43E-08
AUS,1982,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,11768,37.74582208,0.4963576,15.615,1,6.07E-08
AUS,1982,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,2,6865,37.74582208,0.4963576,15.615,1,3.54E-08
AUS,1983,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,2256,38.9583793,0.515623,14.794,1,1.27E-08
AUS,1983,Australia,Sub Tropical,Wildfire,Climatological,Australia and New Zealand,Oceania,76,400001,38.9583793,0.515623,14.794,1,2.26E-06
AUS,1983,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,5774,38.9583793,0.515623,14.794,1,3.26E-08
AUS,1983,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,1985,38.9583793,0.515623,14.794,1,1.12E-08
AUS,1984,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,37,3001,40.63380386,0.5445822,15.326,1,1.55E-08
AUS,1985,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,28,122001,42.07452677,0.5751659,15.386,1,6.77E-07
AUS,1985,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,1,5779,42.07452677,0.5751659,15.386,1,3.21E-08
AUS,1985,Australia,Sub Tropical,Wildfire,Climatological,Australia and New Zealand,Oceania,7,18170,42.07452677,0.5751659,15.386,1,1.01E-07
AUS,1985,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,7256,42.07452677,0.5751659,15.386,1,4.03E-08
AUS,1985,Australia,Sub Tropical,Wildfire,Climatological,Australia and New Zealand,Oceania,6,15001,42.07452677,0.5751659,15.386,1,8.32E-08
AUS,1986,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,6807,42.87312983,0.5401546,15.061,1,3.74E-08
AUS,1986,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,9,64201,42.87312983,0.5401546,15.061,1,3.53E-07
AUS,1986,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,5,68056,42.87312983,0.5401546,15.061,1,3.74E-07
AUS,1986,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,51001,42.87312983,0.5401546,15.061,1,2.80E-07
AUS,1986,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,5779,42.87312983,0.5401546,15.061,1,3.17E-08
AUS,1986,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,4,70001,42.87312983,0.5401546,15.061,1,3.85E-07
AUS,1988,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,2,20418,46.25655683,0.4778551,15.858,1,8.66E-08
AUS,1988,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,11,1,46.25655683,0.4778551,15.858,1,4.24E-12
AUS,1988,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,7,1,46.25655683,0.4778551,15.858,1,4.24E-12
AUS,1988,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,1,68056,46.25655683,0.4778551,15.858,1,2.89E-07
AUS,1989,Australia,Sub Tropical,Earthquake,Geophysical,Australia and New Zealand,Oceania,13,1000001,48.48936537,0.4457537,16.603,1,3.34E-06
AUS,1989,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,3,13612,48.48936537,0.4457537,16.603,1,4.55E-08
AUS,1989,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,10,1,48.48936537,0.4457537,16.603,1,3.34E-12
AUS,1989,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,3,94301,48.48936537,0.4457537,16.603,1,3.15E-07
AUS,1990,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,155601,51.106795,0.4706744,16.471,1,5.01E-07
AUS,1990,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,7,78201,51.106795,0.4706744,16.471,1,2.52E-07
AUS,1990,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,389101,51.106795,0.4706744,16.471,1,1.25E-06
AUS,1990,Australia,Sub Tropical,Wildfire,Climatological,Australia and New Zealand,Oceania,1,1,51.106795,0.4706744,16.471,1,3.22E-12
AUS,1990,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,7,195501,51.106795,0.4706744,16.471,1,6.29E-07
AUS,1991,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,1561,53.27115662,0.5028681,16.398,1,4.80E-09
AUS,1991,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,1,53.27115662,0.5028681,16.398,1,3.07E-12
AUS,1991,Australia,Sub Tropical,Drought,Climatological,Australia and New Zealand,Oceania,1,473001,53.27115662,0.5028681,16.398,1,1.45E-06
AUS,1992,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,103101,54.88464241,0.5308946,16.454,1,3.17E-07
AUS,1992,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,3,274901,54.88464241,0.5308946,16.454,1,8.46E-07
AUS,1992,Australia,Sub Tropical,Drought,Climatological,Australia and New Zealand,Oceania,1,1500001,54.88464241,0.5308946,16.454,1,4.62E-06
AUS,1993,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,2,4601,56.50464564,0.5591131,16.55,1,1.48E-08
AUS,1993,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,1,56.50464564,0.5591131,16.55,1,3.21E-12
AUS,1993,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,1,56.50464564,0.5591131,16.55,1,3.21E-12
AUS,1993,Australia,Sub Tropical,Extreme temperature,Meteorological,Australia and New Zealand,Oceania,18,1,56.50464564,0.5591131,16.55,1,3.21E-12
AUS,1994,Australia,Sub Tropical,Earthquake,Geophysical,Australia and New Zealand,Oceania,1,1,57.97797424,0.5861913,16.86,1,3.10E-12
AUS,1994,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,3,77601,57.97797424,0.5861913,16.86,1,2.41E-07
AUS,1994,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,2,1,57.97797424,0.5861913,16.86,1,3.10E-12
AUS,1994,Australia,Sub Tropical,Wildfire,Climatological,Australia and New Zealand,Oceania,5,150001,57.97797424,0.5861913,16.86,1,4.66E-07
AUS,1994,Australia,Sub Tropical,Extreme temperature,Meteorological,Australia and New Zealand,Oceania,1,1,57.97797424,0.5861913,16.86,1,3.10E-12
AUS,1994,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,23,1,57.97797424,0.5861913,16.86,1,3.10E-12
AUS,1994,Australia,Sub Tropical,Wildfire,Climatological,Australia and New Zealand,Oceania,1,1,57.97797424,0.5861913,16.86,1,3.10E-12
AUS,1994,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,3,1,57.97797424,0.5861913,16.86,1,3.10E-12
AUS,1994,Australia,Sub Tropical,Extreme temperature,Meteorological,Australia and New Zealand,Oceania,6,1,57.97797424,0.5861913,16.86,1,3.10E-12
AUS,1995,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,28001,59.60449489,0.6046198,17.119,1,7.63E-08
AUS,1995,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,8,98001,59.60449489,0.6046198,17.119,1,2.67E-07
AUS,1995,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,18701,59.60449489,0.6046198,17.119,1,5.09E-08
AUS,1995,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,2,84001,59.60449489,0.6046198,17.119,1,2.29E-07
AUS,1995,Australia,Sub Tropical,Extreme temperature,Meteorological,Australia and New Zealand,Oceania,2,1,59.60449489,0.6046198,17.119,1,2.72E-12
AUS,1996,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,317301,61.35162973,0.5984921,17.391,1,7.93E-07
AUS,1996,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,2,131001,61.35162973,0.5984921,17.391,1,3.27E-07
AUS,1996,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,39201,61.35162973,0.5984921,17.391,1,9.79E-08
AUS,1996,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,7,47001,61.35162973,0.5984921,17.391,1,1.17E-07
AUS,1996,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,9334,61.35162973,0.5984921,17.391,1,2.33E-08
AUS,1996,Australia,Sub Tropical,Landslide,Hydrological,Australia and New Zealand,Oceania,10,1,61.35162973,0.5984921,17.391,1,2.50E-12
AUS,1996,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,1,46701,61.35162973,0.5984921,17.391,1,1.17E-07
AUS,1996,Australia,Sub Tropical,Storm,Meteorological,Australia and New Zealand,Oceania,2,140001,61.35162973,0.5984921,17.391,1,3.50E-07
AUS,1996,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,5,205301,61.35162973,0.5984921,17.391,1,5.13E-07
AUS,1997,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,1,1,62.7858352,0.5946393,17.79,1,2.30E-12
AUS,1997,Australia,Sub Tropical,Landslide,Hydrological,Australia and New Zealand,Oceania,20,1,62.7858352,0.5946393,17.79,1,2.30E-12
AUS,1997,Australia,Sub Tropical,Wildfire,Climatological,Australia and New Zealand,Oceania,1,1,62.7858352,0.5946393,17.79,1,2.30E-12
AUS,1997,Australia,Sub Tropical,Wildfire,Climatological,Australia and New Zealand,Oceania,3,6701,62.7858352,0.5946393,17.79,1,1.54E-08
AUS,1998,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,2,1,63.76045524,0.5888423,18.222,1,2.51E-12
AUS,1998,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,3,100001,63.76045524,0.5888423,18.222,1,2.51E-07
AUS,1998,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,2,122701,63.76045524,0.5888423,18.222,1,3.08E-07
AUS,1998,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,1,1,63.76045524,0.5888423,18.222,1,2.51E-12
AUS,1998,Australia,Sub Tropical,Flood,Hydrological,Australia and New Zealand,Oceania,3,61301,63.76045524,0.5888423,18.222,1,1.54E-07
